Nazwa_hotelu,Opis,Kraj,Region,Adresy URL zdjęcia
Hotel Vila Galé Marés,"""Wyobraź sobie cudowny, luksusowy resort położony na powierzchni ok. 200 000 m2, w tropikalnym ogrodzie tuż przy bajecznie długiej, pięknej plaży Guarajuba – to może być sceneria na Twój urlop marzeń! Przestronne lobby, eleganckie wnętrza ozdobione obrazami i egzotycznymi detalami, komfortowe i klimatyczne pokoje, szeroki wybór rozpieszczających smakiem restauracji i barów, w tym swim-up, i wyjątkowo bogata oferta sportowa sprawia, że hotel ma grono wiernych fanów, którzy zakochali się w tym miejscu. Zwróć uwagę na idealnie wkomponowany w krajobraz, ogromny basen z leżakami w wodzie i zachwycającym widokiem na ocean, przy którym można wypoczywać godzinami, jednocześnie chłodząc się zimnym koktajlem, to jest to! W ciągu dnia o rozrywkę dba grupa animatorów, wieczorami można tu posłuchać muzyki na żywo, podziwiać występy tancerzy czy akrobatów. Zaplanuj zwiedzanie okolicy, urokliwej, obsypanej białym piaskiem Praia do Forte i charyzmatycznej stolicy Bahii – Salvadoru, najbardziej afrykańskiego miasta w Brazylii, słynącego z pięknej starówki i świetnych restauracji serwujących ogromne krewetki!""",brazylia,salvador,brazylia_salvador_Hotel_Vila_Galé_Marés.jpg
Grecian Bay Hotel,"""Położony tuż przy piaszczystej plaży z wydzieloną częścią hotelową i blisko centrum Ayia Napa jest idealnym miejscem na wymarzone, cypryjskie wakacje. Dzięki wysokim standardom obsługi i serwisu oraz indywidualnemu podejściu do każdego Gościa hotel może poszczycić się licznym gronem stałych klientów. Eleganckie pokoje są bogato wyposażone, a widoki rozpościerające się z balkonów zapierają dech w piersiach. Restauracje serwują dania kuchni międzynarodowej oraz ryby i owoce morza, a bary położone przy basenie i na plaży oferują smaczne koktajle. Na miejscu znajdziesz również dobrze wyposażone centrum spa, korty tenisowe i siłownię.""",cypr,larnaka,cypr_larnaka_Grecian_Bay_Hotel.jpg
Hotel Kapetanios Bay,"""Położony w samym sercu Protaras oraz niedaleko fantastycznych atrakcji – jest idealnym wyborem na niezapomniane wakacje na cudownej wyspie Afrodyty! Profesjonalna i miła obsługa dba o zadowolenie Gości, w hotelowej restauracji można skosztować smacznych i urozmaiconych dań kuchni lokalnej oraz międzynarodowej, a jednym z największych atutów tego miejsca jest basen oraz bar typu swim-up, przy którym zrelaksujesz się z orzeźwiającym koktajlem w ręku. Funkcjonalnie wyposażone i przestronne pokoje są świetnym miejscem na wyciszenie, po całym dniu opalania na pięknej piaszczystej plaży z niesamowitymi widokami na wybrzeże, do której dotrzesz krótkim spacerem.""",cypr,larnaka,cypr_larnaka_Hotel_Kapetanios_Bay.jpg
Grecian Park Hotel,"""Położony blisko pięknej plaży z drobnym piaskiem oblanej krystalicznie czystymi wodami Morza Śródziemnego, w sąsiedztwie malowniczego Parku Narodowego Cape Greco, jest spełnieniem marzeń o fantastycznych i niezapomnianych wakacjach na ,,wyspie wiecznego słońca”. Urządzony w nowoczesnym i eleganckim stylu, oferuje zakwaterowanie w przestronnych i jasnych pokojach z balkonami, idealnymi do odpoczynku po dniu pełnym wrażeń. Na miejscu są 4 restauracje serwujące doskonałe i urozmaicone potrawy oraz 4 bary, w których wypijesz pysznego drinka podziwiając cudowne widoki na pobliską zatokę. Tutaj nie ma czasu na nudę. Dorośli mogą odprężyć się w saunie lub jacuzzi, popływać w basenie albo zagrać w tenisa, podczas gdy ich pociechy będą szaleć na placu zabaw albo w miniklubie. Wieczorami szczególnie polecamy relaks przy muzyce na żywo i ciekawych pokazach tanecznych.""",cypr,larnaka,cypr_larnaka_Grecian_Park_Hotel.jpg
Hotel Kapetanios Bay,"""Położony w samym sercu Protaras oraz niedaleko fantastycznych atrakcji – jest idealnym wyborem na niezapomniane wakacje na cudownej wyspie Afrodyty! Profesjonalna i miła obsługa dba o zadowolenie Gości, w hotelowej restauracji można skosztować smacznych i urozmaiconych dań kuchni lokalnej oraz międzynarodowej, a jednym z największych atutów tego miejsca jest basen oraz bar typu swim-up, przy którym zrelaksujesz się z orzeźwiającym koktajlem w ręku. Funkcjonalnie wyposażone i przestronne pokoje są świetnym miejscem na wyciszenie, po całym dniu opalania na pięknej piaszczystej plaży z niesamowitymi widokami na wybrzeże, do której dotrzesz krótkim spacerem.""",cypr,larnaka,cypr_larnaka_Hotel_Kapetanios_Bay.jpg
Nicholas Color Hotel,"""Nowoczesny i stylowy, położony w popularnym kurorcie Ayia Napa zaprasza na rodzinne wakacje pełne cypryjskiego słońca. Na miejscu jest zadbany basen, Goście mogą korzystać także z siłowni na świeżym powietrzu, a dla dzieci przygotowano brodzik i plac zabaw. Hotel oferuje popularną formułę all inclusive z przekąskami i napojami w ciągu dnia. Doskonały również jako baza wypadowa do zwiedzania najpiękniejszych miejsc na południowo-wschodnim wybrzeżu Cypru.""",cypr,larnaka,cypr_larnaka_Nicholas_Color_Hotel.jpg
Park Beach Hotel,"""Pomysł na szalone wakacje dla całej rodziny! Położony przy pięknej, piaszczystej plaży, w zielonym ogrodzie wśród drzew piniowych i eukaliptusów, w samym centrum dzielnicy turystycznej Limassol. Na miejscu jest zadbany basen i brodzik dla dzieci, w ciągu dnia organizowane są animacje, a wieczorem można posłuchać muzyki na żywo. Hotelowe restauracje serwują smaczne dania kuchni cypryjskiej i międzynarodowej oraz owoce morza. Od ruin starożytnego miasta Amathous i parku wodnego Fasouri Watermania jest zaledwie kilka kilometrów, dzięki czemu jest również świetną propozycją dla aktywnych i jako baza wypadowa do zwiedzania największych atrakcji Cypru.""",cypr,larnaka,cypr_larnaka_Park_Beach_Hotel.jpg
Livadhiotis City Hotel,"""Położony parę kroków od piaszczystej plaży, wyróżnionej certyfikatem Błękitna Flaga, zaprasza na wspaniałe rodzinne wakacje, pełne radości i słońca! Goście chwalą smaczne śniadania oraz czyste, zadbane pokoje, które mogą pomieścić nawet 4-osobową grupę. Będąc tutaj, nie tylko zrelaksujesz się przy szumie morza, ale i zwiedzisz ciekawe zabytki Larnaki, która znajduje się niedaleko hotelu. Wypoczywaj, zwiedzaj i ciesz się urlopem, z którego przywieziesz nie tylko piękną opaleniznę, ale i fantastyczne wspomnienia!""",cypr,larnaka,cypr_larnaka_Livadhiotis_City_Hotel.jpg
At Herbal Hotel,"""Zadbaj o siebie i swój wypoczynek, wybierz hotel, który inspiracje czerpie z natury. Rośliny, a w szczególności zioła, znajdziesz tu nie tylko na talerzu, są również w zdobiących wnętrza grafikach i w nowatorskich rytuałach spa. Zaprojektowany w nowoczesnym stylu, zachwyca dizajnerskimi wnętrzami – dużo przeszkleń, drewnianych tarasów i zieleni sprawia, że hotel pięknie wtapia się w otoczenie. Wybierz się na pobliską plażę, wypocznij przy basenie lub na wygodnym łóżku balijskim, zadbaj o formę w centrum fitness i zarezerwuj relaksujący masaż, tutaj wszystko jest „na miejscu”. To hotel przyjazny dzieciom, nie będzie im się tutaj nudzić!""",cypr,larnaka,cypr_larnaka_At_Herbal_Hotel.jpg
Liquid Hotel Apartments,"""Przytulny i nowoczesny obiekt, położony tylko kilka kroków od centrum Ayia Napa, sklepów, restauracji i barów, a krótkim spacerem można dotrzeć stąd do miejscowych atrakcji, zabytków i 2 piaszczystych plaż – zwiedzaj, wypoczywaj i w pełni ciesz się urlopem na pięknej wyspie Afrodyty! Przestronne pokoje z aneksami kuchennymi i wygodnymi sypialniami pomieszczą nawet 4 osoby, przez co będą doskonałym miejscem na wypoczynek dla rodzin. Na miejscu do dyspozycji jest basen i brodzik dla najmłodszych, bar oraz restauracja serwująca smaczne, chwalone przez Gości śniadania. W tym roku wybierz Cypr!""",cypr,larnaka,cypr_larnaka_Liquid_Hotel_Apartments.jpg
